식당이미지(ID),식당(ID),식당명,지역명,식당이미지(URL),식당상태
2426,164147,구운몽,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/164147_595854404.jpg,폐업
2434,165846,스낵랩,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/165846_1524573739.jpg,미확인
2445,167846,홍대돈부리 여의도HP빌딩점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/167846_369409813.jpg,폐업
2446,167846,홍대돈부리 여의도HP빌딩점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/167846_875523617.jpg,폐업
2467,169026,BHC치킨 당산점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/169026_1695136447.jpg,폐업
2468,169026,BHC치킨 당산점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/169026_2145423534.jpg,폐업
2475,170064,아침이성 저녁감성,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/170064_827993096.jpg,폐업
2476,170064,아침이성 저녁감성,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/170064_941418853.jpg,폐업
2496,171376,할리스커피 KBS본관점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/171376_1667861513.jpg,미확인
2497,171376,할리스커피 KBS본관점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/171376_62273674.jpg,미확인
2529,172871,고운님,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/172871_259513480.jpg,폐업
2530,172871,고운님,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/172871_1525286188.jpg,폐업
2538,175410,한신포차 당산역점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/175410_822740484.jpg,운영중
2539,175410,한신포차 당산역점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/175410_767579126.jpg,운영중
2610,181265,본설 여의도1호점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/181265_763087715.jpg,미확인
2673,186030,화포식당 문래점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/186030_266845353.jpg,미확인
2674,186030,화포식당 문래점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/186030_707019120.jpg,미확인
2675,186275,카페아토,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/186275_363257901.jpg,폐업
2676,186275,카페아토,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/186275_766270039.jpg,폐업
2699,190456,포베이 여의도KBS본관점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/190456_1561895657.jpg,미확인
2700,190456,포베이 여의도KBS본관점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/190456_689300759.jpg,미확인
2711,190489,백고집찌개마을,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/190489_1960381644.jpg,미확인
